provider_transaction_id,created,currency,amount,fee,net,status,type,reporting_category,source
txn_001,2026-07-02,eur,5137,170,4967,available,charge,charge,ch_001
txn_002,2026-07-03,eur,5274,190,5084,available,charge,charge,ch_002
txn_003,2026-07-04,eur,5411,210,5201,available,charge,charge,ch_003
txn_004,2026-07-05,eur,5548,230,5318,available,charge,charge,ch_004
txn_005,2026-07-06,eur,5685,150,5535,available,charge,charge,ch_005
txn_006,2026-07-07,eur,5822,170,5652,available,charge,charge,ch_006
txn_007,2026-07-08,eur,5959,190,5769,available,charge,charge,ch_007
txn_008,2026-07-09,eur,6096,210,5886,available,charge,charge,ch_008
txn_009,2026-07-10,eur,6233,230,6003,available,charge,charge,ch_009
txn_010,2026-07-01,eur,6370,150,6220,available,charge,charge,ch_010
txn_011,2026-07-02,eur,6507,170,6337,available,charge,charge,ch_011
txn_012,2026-07-03,eur,6644,190,6454,available,charge,charge,ch_012
txn_013,2026-07-04,eur,6781,210,6571,available,charge,charge,ch_013
txn_014,2026-07-05,eur,6918,230,6688,available,charge,charge,ch_014
txn_015,2026-07-06,eur,7055,150,6905,available,charge,charge,ch_015
txn_016,2026-07-07,eur,7192,170,7022,available,charge,charge,ch_016
txn_017,2026-07-08,eur,7329,190,7139,available,charge,charge,ch_017
txn_018,2026-07-09,eur,7466,210,7256,available,charge,charge,ch_018
txn_019,2026-07-10,eur,7603,230,7373,available,charge,charge,ch_019
txn_020,2026-07-01,eur,7740,150,7590,available,charge,charge,ch_020
txn_021,2026-07-02,eur,7877,170,7707,available,charge,charge,ch_021
txn_022,2026-07-03,eur,8014,190,7824,available,charge,charge,ch_022
txn_023,2026-07-04,eur,8151,210,7941,available,charge,charge,ch_023
txn_024,2026-07-05,eur,8288,230,8058,available,charge,charge,ch_024
txn_025,2026-07-06,eur,8425,150,8275,available,charge,charge,ch_025
txn_026,2026-07-07,eur,8562,170,8392,available,charge,charge,ch_026
txn_027,2026-07-08,eur,8699,190,8509,available,charge,charge,ch_027
txn_028,2026-07-09,eur,8836,210,8626,available,charge,charge,ch_028
txn_029,2026-07-10,eur,8973,230,8743,available,charge,charge,ch_029
txn_030,2026-07-01,eur,9110,150,8960,available,charge,charge,ch_030
txn_005,2026-07-06,eur,5685,150,5535,available,charge,charge,ch_005_duplicate
txn_006,2026-07-07,eur,5822,170,5652,available,charge,charge,ch_006_duplicate
txn_007,2026-07-08,eur,5959,190,5769,available,charge,charge,ch_007_duplicate
txn_008,2026-07-09,eur,6096,210,5886,available,charge,charge,ch_008_duplicate
txn_009,2026-07-10,eur,6233,230,6003,available,charge,charge,ch_009_duplicate
txn_031,2026-07-02,eur,,0,,available,charge,charge,ch_031
txn_032,2026-07-03,eur,,0,,available,charge,charge,ch_032
txn_033,2026-07-04,eur,,0,,available,charge,charge,ch_033
txn_034,2026-07-05,usd,9658,230,9428,available,charge,charge,ch_034
txn_035,2026-07-06,usd,9795,150,9645,available,charge,charge,ch_035
txn_036,2026-07-07,usd,9932,170,9762,available,charge,charge,ch_036
txn_037,2026-07-08,eur,10069,190,9879,pending,charge,charge,ch_037
txn_038,2026-07-09,eur,10206,210,9996,pending,charge,charge,ch_038
txn_039,2026-07-10,eur,10343,230,10113,pending,charge,charge,ch_039
txn_040,2026-07-01,eur,-2500,0,-2500,available,refund,refund,re_040
txn_041,2026-07-02,eur,-2500,0,-2500,available,refund,refund,re_041
txn_042,2026-07-03,eur,-2500,0,-2500,available,refund,refund,re_042
txn_043,2026-07-04,eur,10891,210,10681,available,charge,charge,ch_043
txn_044,2026-07-05,eur,11028,230,10798,available,charge,charge,ch_044
txn_045,2026-07-06,eur,11165,150,11015,available,charge,charge,ch_045
